FIPS,clase,incidencia_edad,confianza_inferior,confianza_superior,recuento_anual,tendencia_reciente_incidencia,intervalo_inferior,intervalo_superior
39123,estable,66,57.2,76,43,-1.1,-22.7,26.7
39125,estable,87.6,71.5,106.5,21,-6.9,-35.8,35.1
39127,estable,78.5,66.7,91.8,33,-9,-26.2,12.1
39129,estable,77.5,68,88,49,-4.5,-16.6,9.4
39131,estable,91.3,77.7,106.8,33,-4,-14.1,7.2
39133,estable,72.1,66.5,78,128,-4.3,-15.6,8.5
39135,estable,72.2,62.2,83.4,39,-1.3,-9,7.1
39137,estable,45.5,36.6,56,19,-1.2,-9.5,7.8
39139,decendiente,71.5,65.8,77.6,118,-4.6,-6.7,-2.4
39141,estable,85.2,76.9,94.2,79,2.6,-15.4,24.5
39143,estable,69.2,61.1,78.3,53,4.2,-0.8,9.4
39145,estable,97.8,89.2,107.2,96,-12.7,-25.2,2
39147,estable,72.1,63.2,81.9,49,5.7,-16.2,33.4
39149,estable,55.7,47.2,65.3,32,-0.7,-14.7,15.5
39151,estable,68.1,64.8,71.5,338,-1.8,-5.7,2.2
39153,decendiente,67.2,64.4,70.1,449,-4,-7.5,-0.3
39155,estable,80.8,76.2,85.7,237,-1.3,-4.5,1.9
39157,estable,61,54.9,67.5,76,-3.4,-19.4,15.8
39159,estable,68.9,58.6,80.5,33,1.5,-19.4,27.9
39161,estable,56.2,45.9,68.4,21,10.6,-16.7,46.9
39163,estable,114.2,91.8,140.8,19,9,-18.1,45.2
39165,estable,65.8,60.9,71,139,-3,-11.3,6.1
39167,estable,75.8,67.8,84.6,67,9.1,-8,29.2
39169,estable,57,51.4,63,79,3.2,-8.7,16.6
39171,estable,66,56,77.5,32,-6,-15,4
39173,estable,53.3,47.9,59.2,73,-1.1,-17.5,18.6
39175,estable,74.4,60.9,90.3,22,-1.5,-15.6,14.9
40001,estable,71.5,57.1,88.5,18,-6.7,-27.7,20.2
40003,estable,61.2,39.9,91.8,5,18.3,-49.9,179.3
40005,estable,80.2,62.6,101.7,14,-0.9,-16.2,17.3
40007,desconocido,0,0,0,0,0,0,0
40009,estable,53.8,41.3,69,13,-9,-32.1,21.9
40011,estable,66.4,48.1,90,9,0.4,-30.2,44.4
40013,estable,87.9,77,100,48,0.7,-19.4,25.9
40015,estable,85.3,72,100.3,30,-0.5,-23.7,29.9
40017,estable,70.2,63.3,77.6,80,-0.5,-13.4,14.2
40019,estable,77.6,67.7,88.6,45,4.1,-4.2,13.2
40021,estable,79.3,68.7,91.1,41,-5.3,-18.6,10.2
40023,estable,80.4,64.2,99.9,17,-6.5,-24.3,15.4
40025,desconocido,0,0,0,0,0,0,0
40027,decendiente,66.3,61.6,71.2,156,-9.3,-12.8,-5.7
40029,estable,85.8,60.3,119.9,7,-15.4,-36.9,13.4
40031,estable,72.8,65.8,80.4,80,0,-16.8,20.1
40033,estable,59.8,39,89.3,5,8.6,-18.5,44.7
40035,estable,85.9,68.9,106.3,18,4.3,-16.8,30.7
40037,estable,87.7,79.1,97,78,1.9,-11.9,17.8
40039,estable,71.5,58.2,86.8,21,-6.1,-24.6,16.9
40041,estable,71.3,62.1,81.6,46,0.8,-11.7,15
40043,estable,48.3,28.5,79.2,4,18.5,-46.1,160.6
40045,estable,65.8,40.3,104.4,4,4.5,-34.9,67.7
40047,estable,62.4,54.5,71.1,46,0.8,-9,11.7
40049,estable,87.9,74.7,103.1,32,2.8,-19.9,31.9
40051,estable,67.6,58.5,77.8,41,-3.5,-11.9,5.7
40053,estable,60.2,35.1,97.8,4,-1,-39.1,61.2
40055,estable,89.8,62.5,125.8,7,6,-20.8,42
40057,desconocido,0,0,0,0,0,0,0
40059,estable,76.8,46.7,121.3,4,-13.2,-51.7,55.9
40061,estable,75.8,58.3,97.3,13,-6.6,-20.8,10.2
40063,estable,88.5,70.4,110.2,17,3.4,-19.9,33.5
40065,estable,58.6,46.7,72.7,17,0.3,-26.4,36.6
40067,estable,79,54.6,111.7,7,0,-37.2,59.4
40069,estable,54.9,39.1,75.6,8,-7,-31.2,25.7
40071,estable,72.9,63.6,83.2,45,-1.1,-21.6,24.7
40073,estable,70.4,54,90.6,13,-14.1,-32.2,8.9
40075,estable,75.1,55.7,100.1,10,19.4,-11.8,61.7
40077,estable,59.9,43.4,81.1,9,-1.3,-32.3,43.8
40079,estable,62.2,53.6,71.9,38,-0.4,-20.3,24.4
40081,estable,66.3,56,78.1,30,-3.6,-21.5,18.5
40083,estable,67.4,57.2,78.9,32,4.5,-9.2,20.3
40085,estable,57.5,40.2,80.3,7,-8.3,-25.5,13
